Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12308051,A161007,B1E02119,9.53,11.74,11.74,54,25.01.2024,,,,,,,,,,,,,,,,,,,,,,,
,L12306757,A262726,B1E01589,9.53,12.14,12.14,54,25.01.2024,4,23.01.2024,11,HR,,,A,KM09,FT,63 A,43,25.01.2024,2,284,25.01.2024,ACC,,,,,36,27.01.2024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12308044,A161009,B1E02130,9.53,11.84,11.84,50,17.01.2024,,,,,,,,,,,,,,,,,,,,,,,
,L12308184,A261010,B1E01886,9.53,11.8,11.8,50,17.01.2024,,,,,,,A,KM09,FT,64 A,37,17.01.2024,2,267,18.01.2024,ACC,,,,,35,23.01.2024,
,L12306923,A161013,B1E01479,9.53,11.93,11.93,53,24.01.2024,,,,,,,A,KM09,FT,64 B,42,24.01.2024,2,284,25.01.2024,ACC,,,,,36,27.01.2024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12305836,A162729,B1E01523,9.53,12.14,12.14,50,17.01.2024,,,,,,,,,,,,,,,,,,,,,,,
,L12306396,A162736,B1E01498,9.53,11.77,11.77,50,17.01.2024,,,,,,,A,KM09,FT,65,37,17.01.2024,2,267,18.01.2024,ACC,,,,,35,23.01.2024,
,L12306573,A262740,B1E01416,9.53,12.14,12.14,50,17.01.2024,,,,,,,A,KM09,FT,65 A,37,17.01.2024,2,267,18.01.2024,ACC,,,,,35,23.01.2024,
,L12307938,A261012,B1E01753,9.53,11.87,11.87,26,25.10.2023,,,,,,,A,KM09,FT,66,42,24.01.2024,2,281,24.01.2024,ACC,,,,,36,27.01.2024,
,L12307931,A261018,B1E01695,9.53,11.86,11.86,26,25.10.2023,,,,,,,A,KM09,M,67,31,28.10.2023,1,179,29.10.2023,ACC,,,,,31,05.01.2024,
,L12306485,A262735,B1E01284,9.53,12.15,12.15,26,25.10.2023,,,,,,,A,KM09,FT,68,38,18.01.2024,2,270,19.01.2024,ACC,,,,,35,23.01.2024,
,L12306712,A162732,B1E01668,9.53,12.14,12.14,26,25.10.2023,,,,,,,A,KM09,M,69,30,27.10.2023,1,179,29.10.2023,ACC,,,,,31,05.01.2024,
,L12307763,A161017,B1E01789,9.53,11.87,11.87,26,25.10.2023,,,,,,,A,KM09,M,70,30,27.10.2023,1,179,29.10.2023,ACC,,,,,31,05.01.2024,
9852,L12307794,A261018,B1E01767,9.53,11.95,11.95,25,23.10.2023,,,,,,,A,KM09,FT,71,39,20.01.2024,2,273,21.01.2024,ACC,,,,,35,23.01.2024,
9863.95,L12306155,A162730,B1E01745,9.53,12.14,12.14,25,23.10.2023,,,,,,,A,KM09,M,72,29,26.10.2023,1,173,28.10.2023,ACC,,,,,31,05.01.2024,
9876.09,L12307932,A261018,B1E01756,9.53,11.66,11.66,25,23.10.2023,,,,,,,A,KM09,M,73,29,26.10.2023,1,173,28.10.2023,ACC,,,,,31,05.01.2024,
9887.75,L12306627,A262737,B1E01387,9.53,12.14,12.14,25,23.10.2023,,,,,,,A,KM09,M,74,29,26.10.2023,1,173,28.10.2023,ACC,,,,,31,05.01.2024,
9899.89,L12307833,A161015,B1E01867,9.53,11.96,11.96,25,23.10.2023,,,,,,,A,KM09,M,75,29,26.10.2023,1,173,28.10.2023,ACC,,,,,31,05.01.2024,
9911.85,L12308016,A161007,B1E02070,9.53,11.87,11.87,25,23.10.2023,,,,,,,A,KM09,M,76,29,26.10.2023,1,"173
186","28.10.2023
13.11.2023","REP
ACC",6,31.10.2023,9,21.11.2023,31,05.01.2024,
9923.72,L12306787,A262725,B1E01746,9.53,12.13,2.26,25,23.10.2023,,,,,,,A,KM09,M,77,29,26.10.2023,1,174,28.10.2023,ACC,,,,,31,05.01.2024,
9925.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,L12306499,A262726,B1E01298,9.53,12.13,12.13,24,20.10.2023,,,,,,,,,,,,,,,,,,,,,,,
10024.13,L12306373,A262733,B1E01283,9.53,12.14,12.14,24,20.10.2023,,,,,,,A,KM10,M,1,27,23.10.2023,1,174,28.10.2023,ACC,,,,,28,29.12.2023,
10036.27,L12305999,A262733,B1E01282,9.53,12.14,12.14,24,20.10.2023,,,,,,,A,KM10,M,2,27,23.10.2023,1,174,28.10.2023,ACC,,,,,28,29.12.2023,
10048.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306811,A162729,B1E01571,9.53,12.14,12.14,45,04.01.2024,,,,,,,,,,,,,,,,,,,,,,,
,L12306786,A262723,B1E01581,9.53,12.14,12.14,45,04.01.2024,,,,,,,A,KM10,FT,3:00 AM,32,04.01.2024,2,267,18.01.2024,ACC,,,,,35,23.01.2024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036,L12307761,A161017,B1E01836,9.53,11.87,11.87,24,20.10.2023,,,,,,,,,,,,,,,,,,,,,,,
10047.87,L12306543,A162724,B1E01382,9.53,11.78,11.78,24,20.10.2023,,,,,,,A,KM10,M,4,27,23.10.2023,1,167,27.10.2023,ACC,,,,,29,30.12.2023,
10059.65,L12306497,A262726,B1E01379,9.53,12.13,12.13,24,20.10.2023,,,,,,,A,KM10,M,5,27,23.10.2023,1,167,27.10.2023,ACC,,,,,29,30.12.2023,
10071.78,L12308081,A161017,B1E02065,9.53,11.8,11.8,24,20.10.2023,,,,,,,A,KM10,M,6,27,23.10.2023,1,167,27.10.2023,ACC,,,,,29,30.12.2023,
10083.58,L12308285,A261016,B1E02558,9.53,11.81,11.81,24,20.10.2023,,,,,,,A,KM10,M,7,27,23.10.2023,1,"167
179","27.10.2023
29.10.2023","REP
ACC",5,28.10.2023,9,21.11.2023,29,30.12.2023,
10095.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
