S.No.,Land_owner_details,Land_detail,Land_Owner_or_ Authority,Location_wrt_kmz,RoU_Width (m),No_ of_Pipelines,RoU_availability_before_commissioning_of_CCCPL (m),RoU_availability _After_commissioning_of_CCCPL (m),Permission_details_or_Status_of_Acquistion,Cost_of_ROW
1,Kamarajar Port Ltd.,Land,KPL,"TP03 upto boundary
TP06 - TP25","Normal -5.024m
HDD-7.524m","Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",Nil,Nil,Permission granted. Payment under process,Annexure-1
2,Buckiimgham Canal,Water Crossing ,PWD, TP03 - TP04,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
3,Kosasthalaiyar River,Water Crossing ,PWD, TP03 - TP04,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
4,CPCL,Land,CPCL,TP04 - TP06,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",CPCL Land,CPCL Land,Available,
5,Asphalt Road,Road Crossing,, TP13 - TP14,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
6,Railway Line (Attipattu -NCTPS),Railway Crossing,Railway, TP15 - TP16,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Pending,
7,CC Road,Road Crossing,, TP17 - TP18,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
8,Nala,Water Crossing ,PWD, TP18 - TP21,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
9,Nala,Water Crossing ,PWD, TP18 - TP21,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
10,Nala,Water Crossing ,PWD, TP18 - TP21,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
11,Asphalt Road (Athipattu -North Chennai Thermal Power station),Road Crossing,NH, TP25 - TP26,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Available,
12,Salt land ,Land,IOCL,TP25 - TP27,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",13,11,Available,
13,Railway Crossing(Railway Track inside NCTPS),Railway Crossing,Railway, TP27- TP28,-,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",-,-,Pending,
14,NTECL,Land,NTECL,TP27 - TP31,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",13,11,Available,Annexure-2
15,AK Mani,Land,IOCL,TP27 - TP39,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",,11,Available,
16,Karuna Reddy,Land,IOCL,,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",,11,Available,
17,Rani,Land,IOCL,,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",,11,Available,
18,North Chennai Logistics,Land,IOCL,,24,"Total - 3 Nos.
1 - 16"" (EMPL)
 2 - 30"" (CCCPL)",,11,Available,
19,Vallur Station,Land,IOCL,TP39 -TP54,-,"Total - 6 Nos.
1 - 16"" (EMPL) 
3 - 24"" (CCCPL)
 1 - 12"" (Torrent)
1 - 4"" (Torrent)",-,-,Available,
20,C C Road (Road to NTECL),Road Crossing,SH, TP54 - TP55,-,"Total - 6 Nos.
1 - 16"" (EMPL) 
3 - 24"" (CCCPL)
 1 - 12"" (Torrent)
1 - 4"" (Torrent)",-,-,Available,
21,Private Land,Land,Private, TP55 - TP78A,24,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",12,10,Available,
22,Govt Land,Land,Govt.,,24,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",,,Available,
23,TNEB ,Land,TANGEDCO,,24,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",,,Available,Annexure-3
24,Kosasthalaiyar River,Water Crossing ,PWD, TP68 - TP69,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
25,Kosasthalaiyar River,Water Crossing ,PWD, TP73 - TP74,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
26,Kosasthalaiyar River,Water Crossing ,PWD, TP77 - TP77A,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
27,PWD ,Water Crossing ,PWD, TP76- TP78A,-,"Total - 4 Nos.
1 - 16""(EMPL) 
 3 - 24"" (CCCPL)",-,-,Available,
28,Manali High Road,Road Crossing,NHAI, TP 78A - TP79A,-,"Total - 3 Nos.
 3 - 24"" (CCCPL)",-,-,Available,Annexure-4
29,Congested area(CMDA),Land,CMDA,TP78A - TP85A,5,"Total - 3 Nos.
 3 - 24"" (CCCPL)",Nil,Nil,Pending,
30,Railway Crossing,Railway Crossing,Railway, TP85A- TP86A,-,"Total - 3 Nos.
 3 - 24"" (CCCPL)",-,-,Pending,
31,CPCL,Land,CPCL,TP85A -TP88A,CPCL,"Total - 3 Nos.
 3 - 24"" (CCCPL)",CPCL Land,CPCL Land,Available,
